,Number of Beds,FTE - Employees on Payroll,Inpatient Revenue,Outpatient Revenue
1790,25.0,103.31,8254113.0,989675839.0
1791,25.0,393.09,22288921.0,125716504.0
1792,25.0,440.34,25076145.0,91974892.0
1793,23.0,126.81,8411255.0,30868479.0
1794,21.0,117.06,8959335.0,10018820.0
1795,25.0,153.08,16355845.0,90526877.0
1796,22.0,90.6,9285136.0,22530611.0
1798,100.0,192.42,44433600.0,2869041.0
1799,63.0,609.51,48973608.0,243343744.0
1800,49.0,266.0,99750676.0,221447400.0
1801,236.0,1651.91,404622541.0,476081042.0
1802,10.0,94.9,2982213.0,71028064.0
1803,184.0,285.06,25164029.0,9737070.0
1804,136.0,545.57,181076416.0,322054603.0
1805,16.0,99.44,4094573.0,23210648.0
1806,25.0,65.51,8873370.0,17560051.0
1807,100.0,227.41,49266599.0,4002960.0
1808,17.0,156.76,8330860.0,32898493.0
1809,48.0,255.21,19430515.0,102368075.0
1810,172.0,343.6,114343474.0,2286796.0
1811,25.0,143.25,12433413.0,20817160.0
1812,25.0,316.39,13016607.0,104900971.0
1813,14.0,68.0,3317216.0,7930658.0
1815,197.0,231.86,79158336.0,7098575.0
1816,108.0,203.1,45875700.0,4844089.0
1817,285.0,438.29,135927805.0,7167536.0
1818,49.0,345.68,154064790.0,167791753.0
1819,175.0,648.01,51064474.0,26936620.0
1820,139.0,791.54,278944690.0,433934971.0
1821,150.0,1398.88,266552791.0,633193218.0
1823,40.0,111.47,66295097.0,1000.0
1824,73.0,395.61,79069914.0,138465012.0
1825,22.0,107.72,3246505.0,5291833.0
1826,25.0,165.34,3676604.0,13350201.0
1827,86.0,777.63,151743307.0,334584483.0
1828,135.0,384.43,113363151.0,271899561.0
1829,25.0,114.72,19953675.0,45175676.0
1831,15.0,65.54,5946797.0,10708558.0
1832,20.0,71.33,41723559.0,81148825.0
1835,320.0,787.63,415474133.0,206507662.0
1836,27.0,304.26,97602338.0,221073586.0
1837,115.0,447.0,116127501.0,285777053.0
1838,16.0,84.23,3894252.0,27340430.0
1839,130.0,109.0,69472307.0,5979217.0
1840,155.0,1176.36,231857823.0,351337698.0
1841,166.0,309.59,107792970.0,30241500.0
1843,25.0,446.7,64868417.0,198660155.0
1844,8.0,104.61,9747786.0,57746418.0
1845,84.0,455.49,241232435.0,359965972.0
1846,196.0,1064.0,520665389.0,598690350.0
1847,86.0,616.85,109241697.0,247134994.0
1848,332.0,1178.64,487840587.0,524815409.0
1849,86.0,150.74,52702800.0,3083507.0
1850,370.0,607.31,197975823.0,319992477.0
1851,246.0,395.0,156483700.0,13258215.0
1852,116.0,191.11,58288000.0,2734750.0
1853,140.0,743.0,261255972.0,260923851.0
1854,120.0,358.68,158932286.0,3581188.0
1855,41.0,857.79,161012161.0,350810362.0
1856,12.0,125.01,35708772.0,84057919.0
1857,108.0,926.94,155802102.0,393407700.0
1858,75.0,147.81,29003341.0,97841568.0
1859,25.0,120.75,3909289.0,36523341.0
1860,28.0,91.37,33631760.0,59422558.0
1861,135.0,356.15,212470579.0,202512647.0
1862,108.0,267.22,137392625.0,330497315.0
1863,10.0,99.87,6012145.0,95474253.0
1864,37.0,122.96,67581105.0,69800445.0
1865,30.0,141.0,34486554.0,140285813.0
1866,25.0,173.86,2264282.0,31632045.0
1867,49.0,315.19,41585866.0,129931137.0
1868,110.0,581.63,181904806.0,207506270.0
1869,119.0,560.8,158417252.0,243552991.0
1870,211.0,759.53,250438676.0,304529374.0
1871,83.0,702.32,256796525.0,645089084.0
1872,98.0,197.35,62332800.0,6930530.0
1873,25.0,137.32,6635052.0,28724456.0
1874,230.0,630.41,293781323.0,294393026.0
1875,63.0,153.91,29503361.0,125922644.0
1876,90.0,414.91,106468538.0,169334145.0
1877,292.0,1407.1,882905850.0,492399408.0
1878,25.0,119.06,6376591.0,30276202.0
1879,53.0,507.59,112698538.0,327972320.0
1880,32.0,289.04,68324455.0,2488512.0
1881,22.0,38.0,1013060.0,6268744.0
1882,42.0,362.04,35499296.0,98882682.0
1883,124.0,504.18,435145427.0,465383501.0
1884,44.0,106.11,8188240.0,64044166.0
1885,289.0,1636.48,522410990.0,612548709.0
1886,20.0,541.26,41658546.0,309460980.0
1887,24.0,100.0,70472822.0,84762624.0
1888,49.0,255.79,33147067.0,75928642.0
1890,58.0,375.53,240355115.0,103583776.0
1891,204.0,734.48,400943683.0,171825160.0
1892,9.0,168.81,53570688.0,187271965.0
1893,34.0,297.19,88434722.0,104332470.0
1894,25.0,274.61,32791250.0,71650135.0
1895,22.0,194.58,33967101.0,157139930.0
1896,32.0,137.28,4921475.0,78754112.0
1897,126.0,252.0,22392961.0,5996130.0
1898,6.0,43.55,1145893.0,33070673.0
1899,53.0,521.28,179195007.0,247295003.0
1900,331.0,1695.4,645359811.0,554468269.0
1901,279.0,900.19,515311485.0,332540157.0
1902,37.0,328.3,103919306.0,179325271.0
1903,68.0,546.24,154821924.0,225473584.0
1904,37.0,300.6,43976560.0,130463399.0
1906,71.0,579.93,64714183.0,149795574.0
1907,16.0,57.6,28013679.0,29125678.0
1908,10.0,84.0,13527929.0,119824350.0
1909,112.0,334.8,333630008.0,311427092.0
1910,32.0,141.49,92433687.0,76707671.0
1911,64.0,204.0,170345943.0,24084777.0
1912,17.0,157.0,19095043.0,172320078.0
1913,25.0,402.79,21166966.0,84298617.0
1914,136.0,613.18,459493395.0,432146335.0
1916,107.0,146.69,55483324.0,6726187.0
1917,72.0,72.74,17601400.0,720593.0
1918,38.0,96.94,10136308.0,31057167.0
1919,10.0,60.87,42185531.0,67840983.0
1920,16.0,49.18,9156934.0,47725648.0
1921,25.0,34.45,9405906.0,1304856.0
1922,48.0,109.7,15449543.0,39567118.0
1923,14.0,97.28,15864410.0,26972544.0
1924,19.0,13.83,2601665.0,1418664.0
1925,152.0,878.47,637707238.0,705313204.0
1926,28.0,275.48,62773298.0,165045173.0
1927,22.0,257.6,25817768.0,74608708.0
1928,45.0,114.84,25470076.0,74455395.0
1929,140.0,683.37,200212343.0,375448205.0
1931,45.0,422.75,170733398.0,425486316.0
1932,75.0,439.64,136046757.0,255199031.0
1933,81.0,750.2,146261902.0,246224622.0
1934,248.0,1687.4,452643930.0,567121013.0
1935,25.0,129.07,11914321.0,40851656.0
1937,24.0,209.57,51268113.0,132266459.0
1938,16.0,173.27,6118668.0,110076729.0
1939,106.0,330.22,280272070.0,323617658.0
1941,25.0,105.52,5940247.0,18462778.0
1942,254.0,1116.0,583045582.0,463483667.0
1943,40.0,153.16,12502015.0,165800427.0
1944,16.0,117.82,88319335.0,283333165.0
1945,22.0,36.63,438713.0,1688818.0
1947,120.0,665.52,564586357.0,422334620.0
1949,90.0,514.86,41267988.0,252011563.0
1951,231.0,1179.0,447403244.0,836292209.0
1952,25.0,103.35,3490688.0,20752312.0
1953,206.0,1914.53,916217092.0,1095935585.0
1954,173.0,1928.37,465576917.0,1061616784.0
1955,51.0,127.6,31290882.0,97346008.0
1956,50.0,345.51,100794604.0,217334262.0
1957,58.0,599.92,45730845.0,241741114.0
1958,2.0,144.0,800180.0,9562108.0
1959,203.0,1009.85,625671673.0,579364386.0
1960,206.0,852.57,455676376.0,564762360.0
1961,59.0,781.19,209051384.0,347354017.0
1962,24.0,557.11,54896473.0,332753499.0
1963,126.0,616.55,178801035.0,324358789.0
1964,144.0,296.59,71235042.0,29923097.0
1965,26.0,58.49,2981787.0,13480415.0
1966,239.0,1533.0,482675896.0,638334220.0
1967,35.0,193.11,24136942.0,76006682.0
1968,365.0,1782.43,1169103330.0,573971865.0
1969,266.0,1445.56,566683788.0,674825356.0
1970,82.0,286.99,94766979.0,189672593.0
1971,49.0,408.62,28607714.0,119001623.0
1972,250.0,1841.0,633871865.0,585877413.0
1973,44.0,231.82,17358865.0,98888692.0
1974,31.0,185.98,43732014.0,105478913.0
1975,89.0,385.39,169412458.0,217137048.0
1976,30.0,120.8,103976252.0,52847577.0
